source	term_name	term_id	highlighted	adjusted_p_value	negative_log10_of_adjusted_p_value	term_size	query_size	intersection_size	effective_domain_size	PCSK5	ZFHX3	COL25A1	HCRTR2	MDFIC	ADAMTSL1	NFIA	SEMA3E	DLC1	CNTNAP4	TENM1	COL19A1	ADRA1A	NKAIN1	SDK2	MCTP2	KIAA1217	TLE4	RYR3	ADAMTSL3	XKR4	RERG	SEMA3A	GARNL3	DSCAML1	KCNK2	TENM3	SEZ6L	ASTN2	AMOTL1	MCC	GRIK3	GAS7	DPP4	RALGPS2	SCN9A	NKAIN3	SORCS3	SGCZ	DIP2A	FGFR1	DGKG	RXFP1	ITPR2	DGKH	NPFFR2	TNIK	FRMD3	KCNMB4	GRM5	ASAP2	EPHA5	MCTP1	CAMK2D	ZFPM2	CELF2	LRIG1	MDGA2	CLMP	PCDH15	ROBO2	PCDH17	LHFPL3	SPOCK3	CDH10	DPP10	SLC8A1	TBC1D1	ADD3	UTRN	NRXN1	RIPOR2	BCL11B	RASGRP1	TMEFF2	ARHGAP22	TRPM3	SLC1A2	LMO3	BRINP3	ALCAM	PLCB4	DOCK4	GRID2	HDAC4	STXBP5	PRKCE	RAP1GAP2	NRP1	POU6F2	BICD1	ASIC2	GREB1L	CHST11	NOS1AP	NFIB	UST	CACNA2D3	CADPS	SPARCL1	GRK3	GSG1L	DMD	ERC1	EPHA3	LRP1B	SLC24A2	DDAH1	WWOX	GAB2	PRKG1	BCL11A	STARD13	KCNH5	VWC2L	DOK6	KCNMB2	PDE4B	CNTN4	SLC39A11	MARCHF1	CLSTN2	SLIT3	NKAIN2	GPC5	MEIS2	CDH9	KAZN	MT-CO3
GO:BP	regulation of localization	GO:0032879	True	7.5541265263e-06	5.1218157453174085	2018	143	38	21031					ISS						ISS			IBA,IEA		IBA			ISS,IBA,IEA										IEA								IBA,IEA				IEA			ISS,IBA					TAS	IGI		ISS	ISS,IBA,IEA	IDA,IMP,ISS,TAS,IC								IEA				IDA,ISS,IBA	ISS,TAS	IEA		ISS	ISS,IEA	ISS,IEA						IEA				IBA				ISS,IBA,TAS,IEA	TAS,IEA		TAS		IMP,IGI,IBA	IEA			ISS,TAS				IBA			IEA	ISS,IEA		IDA					ISS	IEA							ISS,IEA						IBA,IEA	IBA				
GO:BP	regulation of blood circulation	GO:1903522	True	3.63632544921e-05	4.439337254582535	254	143	13	21031													ISS,IBA,IEA																																				TAS					TAS,IC		TAS											IMP,ISS,TAS,IC		IEA														IMP		IEA							IEA			IMP								IMP,ISS,IEA														TAS	ISS,IEA											
GO:BP	negative regulation of locomotion	GO:0040013	True	0.0009289364879652	3.0320139780076034	336	143	13	21031								IBA	IDA,IMP														IBA								IMP			IMP																			ISS,IEA								IDA			TAS								IMP			IDA														IEA																						IDA,IEA		IMP,IGI																
GO:BP	actin filament-based process	GO:0030029	True	0.0165006263211088	1.782499570777666	805	143	18	21031									IDA,IMP,ISS,IBA		ISS																			IBA			IBA														IDA	IBA				ISS		ISS,IC						IEA									IBA						IDA												ISS,IEA		IMP						IDA,IMP,IEP,ISS										IDA						TAS		IBA					ISS,IEA											
GO:BP	regulation of cardiac muscle contraction	GO:0055117	True	0.0217477157382898	1.6625863522428377	75	143	6	21031													ISS,IEA																																									TAS,IC													ISS,TAS																		IEA																		ISS,IEA															ISS,IEA											
GO:BP	regulation of muscle contraction	GO:0006937	True	0.02742239395103	1.5618946343627207	162	143	8	21031													ISS,IEA																																									TAS,IC													ISS,TAS																IMP		IEA																		ISS,IEA								IEA							ISS,IEA											
GO:BP	negative chemotaxis	GO:0050919	True	0.0294930886146182	1.5302797442997893	47	143	5	21031								IBA															IBA											IEA																											IDA																																																														IDA,IBA						
GO:BP	response to mechanical stimulus	GO:0009612	True	0.0323571392228113	1.49002988244506	217	143	9	21031																										IEA										IEA																								IEA							IMP				IMP	IEA																				IEA											ISS,IEA																							IEA			
GO:BP	calcium ion homeostasis	GO:0055074	True	0.0328831388795088	1.483026733316125	334	143	11	21031				IDA															ISS,IBA,IEA																						IEA			ISS,IBA						IEA				ISS,TAS,IC													ISS,TAS															IBA					IEA																ISS,IEA				IDA,IBA,IEA																						
GO:CC	cell periphery	GO:0071944	True	5.50061065591473e-16	15.259589094183466	6228	148	93	22097			IDA,HDA,TAS	IDA,TAS,IEA	IEA	IEA			IDA	ISS,IEA	ISS,IEA	HDA,IBA,NAS	IDA,TAS,IEA	IEA	TAS,IEA				IBA	IBA	ISS,IBA,IEA	IBA			IBA,TAS,IEA	ISS,TAS,IEA	ISS,IEA		IEA	IBA	IDA,IEA	IDA,IBA,TAS,IEA	IBA	IDA,IBA,TAS,IEA	IBA,IEA	IMP,IBA,IEA	IEA	IEA	IBA,TAS,IEA	IEA	IDA,TAS,IEA	IBA,TAS	TAS,IEA	IDA,IBA,IEA	IDA,ISS,TAS,IEA	IDA,TAS,IEA	IDA		IDA,IBA,TAS,IEA	IMP,IBA,TAS,IEA	IDA,IEA	IDA,TAS,IEA		IEA			IBA,TAS,IEA	TAS,IEA	IEA	IEA	ISS,TAS,IEA	IEA	IBA	IDA	IBA,TAS,IEA	IPI,ISS,IBA,IEA	IDA,ISS,IBA,TAS,IEA		IDA,IBA,IEA	IDA,IBA,TAS,IEA	IDA,ISS,TAS,IC,IEA	IEA		IDA,IBA,TAS,IEA			TAS,IEA	IDA,IMP,IBA,TAS,IEA			IDA,ISS,IBA,IEA		IDA,IBA,IEA	ISS,IBA,TAS,IEA		ISS,IBA,IEA	IDA,ISS,TAS,IEA	IGI,IBA	IDA,TAS,IEA			TAS,IEA			ISS,IEA			IBA		IEA	TAS	IBA,IEA	IDA,IBA,TAS,NAS,IEA	IBA,TAS,IEA	IDA,TAS,IEA	IBA	IDA,RCA,TAS,IEA		IDA	IDA,IEA	IDA,IEA			TAS	IBA,IEA		IDA,IBA,TAS,IEA	ISS,IEA	IBA,TAS,NAS,IEA	ISS,IEA	IDA,IEA	IBA,IEA		IEA	TAS,IEA		IBA,TAS,IEA	IDA	
GO:CC	neuron projection	GO:0043005	True	3.460118849281921e-07	6.460908983663624	1334	148	31	22097											IBA												IBA,IEA		IBA	IEA	IBA,IEA					ISS				ISS,IEA				ISS,IEA										IEA		IDA,ISS,IBA,IEA		IBA						IDA,ISS,IEA	ISS						ISS,IBA				ISS	ISS,IEA	IEA					IEA		IBA,IEA	ISS,IEA	IEA	ISS,IEA	ISS,IEA					ISS,IBA,IEA			IEA				ISS,IEA							ISS,IEA		IBA													IEA	IBA,NAS			IEA							
GO:CC	monoatomic ion channel complex	GO:0034702	True	0.0002316325958164	3.6352003258292687	346	148	13	22097																			IBA							IEA						IBA				IBA,IEA													IDA,IBA,IEA																	IPI,IBA																		ISS,IEA		ISS,IEA												IBA,IEA																IEA	IBA,IEA		IDA,IBA,IEA	ISS,IEA											
