"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","HTR2C","NXPH2","ROR1","LHFPL3","KCNIP1","QRFPR","SPON1","CARD11","PLPPR1","ZNF385D","GRIN3A","FAT1","ADAMTSL3","MMD2","PTGER3","SLC24A3","FGFR1","BCL11B","GRM4","GNA14","COL11A1","MCC","RANBP17","SDK1","TLL1","SORCS2","AFDN","PCP4","TLE4","GRIP1","CDH6","NR4A3","PCDH17","SEMA5B","LUZP2","VWC2L","PHLDB2","SPHKAP","CRYM","SEL1L3","ERC1","ASIC2","HS3ST4","PRR16","PLCE1","ASTN2","GHR","DIP2A","IRAG2","DGKD","TSHZ2","KLHL5","ITGA8","HPSE2","TRMT9B","TMEM132C","ABLIM3","DLC1","ZNF704","SEMA3E","ASAP2","CDH8","UST","FARP1","CDH11","DAB1","NCK2","PAPSS2","SLC24A2","TMTC2","SAMD4A","CLMP","ABLIM1","PDZRN4","CAMK2D","KIAA1217","OSBPL9","ALCAM","CORO6","MEIS2","ADCY2","SATB1","TOX","GRM8","NYAP2","MOB3B","KCNT2","PDE3B","DPP10","TSHZ3","CHN2","RALGPS2","MDGA2","GRM3","SLC1A2","OLFM3","SPOCK1","TRHDE","NLGN1","CAP2","EPHA7","MYRIP","DIP2B","DOCK4","GRIK3","XKR6","KIAA1671","BMPER","LRRTM3","LRP1B","CDH13","ZNF385B","PLXNA4","TMEM232","PARD3","ST8SIA1","CNTN4","SLC35F1","SH3RF3","EPHA5","ST6GAL2","GARNL3","NKAIN2","NELL1","FAM135B","GALNT14","CSMD2","AUTS2","STARD13","GPR158","CHSY3","SNTG1","CNTNAP2","CLSTN2","GRIA4","SGCZ","DCC"
"GO:BP","neuron development","GO:0048666","false","1.670210810132975e-7","6.777228709750985","1167","130","29","21031",,,"IBA",,,,,,,,"ISS,IEA",,,,,,"IEA","IEA",,,,,,"IEA",,,,,,"ISS",,,,"IBA,IEA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,"IDA,IBA",,,"IEA","ISS,IEA","IEA","IEA","IEA",,,,,,,,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,,,,,,,,,,"IEA","IDA",,"IDA,IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,,,"ISS,IBA,IEA",,"TAS",,"ISS,IBA,TAS,IEA",,,"IEP,ISS,IBA",,,,,,,,"ISS",,,,,"ISS,NAS",,,,"IBA,TAS,IEA"
"GO:BP","cell projection organization","GO:0030030","false","2.3961016229812343e-7","6.620494766681698","1613","130","34","21031",,,"IBA",,,,,,,,"ISS,IEA",,,,,,"IEA","IEA",,,,,,"IEA",,,,,,"ISS",,,,"IBA,IEA",,,,,,,,,,,"IMP",,,"ISS",,,,,"IEA",,,,"IMP,IBA",,,"IBA",,,"IEA","ISS,IEA","IEA","IEA","IEA",,,,,,"IMP,IBA",,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,,,,,,,,,,,"IDA",,"IDA,IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,"IDA",,"ISS,IBA,IEA","IEA","TAS",,"ISS,IBA,TAS,IEA",,,"ISS,IBA",,,,,,,,"ISS",,,,,"ISS",,,,"IBA,TAS,IEA"
"GO:BP","trans-synaptic signaling","GO:0099537","true","4.181779655657029e-7","6.378638854553586","756","130","23","21031","IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,"IBA,TAS",,,,,,,"IEA",,,,,,,"IEA",,,,,,,,"IBA","TAS",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,"IEA","IEA",,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA",,,,,,"ISS",,,,"IBA,TAS,IEA","TAS",,,,"IGI,ISS,IBA,NAS,IEA",,"IEA",,,,"ISS,IBA",,,,,,,,,,,,"TAS",,,,,,,,,,,,,"ISS,IEA",,,,"IBA,IEA","IBA",,"IEA"
"GO:BP","cell junction organization","GO:0034330","true","4.518153462018688e-7","6.345039022070809","759","130","23","21031",,,,,,,,,,,,,,,,,,,,,,,,"ISS",,,"IMP",,,,"IBA,IEA",,"IEA",,,,"IMP",,,,"IBA","IEA",,,,,,"ISS",,,,,,,,,,"IDA,ISS",,"ISS,IEA",,"IBA,IEA",,"ISS,IEA","IMP,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,IGI,ISS,IBA,TAS,NAS,IEA","IEA","IEA",,,,,,,,"IDA,IMP,IEA",,"IBA",,"IEA",,"ISS",,,,,,,,,,,,,,,"ISS,IEA",,,"IMP","IBA,IEA",,,
"GO:BP","cell communication","GO:0007154","false","5.273245976492942e-7","6.277921970041187","6537","130","75","21031","IDA,ISS,IBA,TAS,IEA","NAS","IMP,IBA,TAS,IEA",,,"IDA,IBA,IEA",,"IMP,ISS,IBA,IEA","IBA",,"IBA,IEA","TAS",,"IDA","IBA,TAS,IEA",,"IDA,IPI,IMP,IGI,IBA,TAS,IEA",,"IDA,IMP,IBA,TAS,IEA","IBA,TAS,IEA",,"IDA,IMP,IBA,TAS,IEA",,,,"NAS,IEA","TAS,IEA","IMP","IBA,IEA","NAS","IEA","IDA,ISS,IEA","IEA","IBA",,"IBA,IEA",,,,,"IDA,IBA","TAS,IEA",,,"IDA,IMP,IBA,NAS,IEA",,"IMP,ISS,IBA,IEA",,,"ISS,IBA,TAS,IEA",,,"IBA,IEA",,,,,"IMP,IBA,TAS,IEA",,"IDA,IGI,ISS,IBA,IEA",,"IBA,IEA",,"IEA","IEA","IEA","IBA,TAS,NAS,IEA",,"ISS,IBA,IEA",,,,,,"ISS,TAS,IC",,,"TAS",,,"ISS,IBA,IEA",,,"IDA,IMP,IBA,IEA","ISS,IBA","IMP,IBA",,"IMP,IBA,TAS,IEA",,"ISS","TAS,IEA","IBA,IEA",,"IBA,TAS,IEA","TAS,IEA","IBA",,"TAS","IGI,ISS,IBA,TAS,NAS,IEA","IBA,TAS","IDA,IBA,IEA","ISS",,"IEA","IDA,ISS,IBA,IEA",,,"IDA,IEA",,,"IDA,IMP","IDA","ISS,IBA,NAS,IEA",,"TAS",,"TAS",,"IMP,IBA,IEA","ISS,IBA,IEA",,"IEA",,,,,,"ISS","IBA,TAS,IEA","IDA,ISS,IEA",,"TAS","NAS","IBA,IEA","IBA,TAS,IEA",,"IEA"
"GO:BP","multicellular organism development","GO:0007275","false","5.350058821058926e-7","6.271641443115056","4643","130","61","21031",,,"IBA,IEA",,,,,"IEA","ISS",,"ISS,IEA","IEA",,"IDA",,,"IMP,TAS,IEA","IEA",,,"IEP,IEA",,,"ISS,IEA","IBA,TAS",,,"IMP",,"ISS",,"ISS","IEA","IBA,IEA",,"IEA","IMP,IGI",,,,,"TAS,IEA",,,"IMP","IBA,IEA","IEA","ISS,IEA",,,,,"IMP,IEP,IEA",,,,,"ISS",,"IDA,ISS,IBA,IEA",,,"IEA","ISS,IEA","ISS,TAS,IEA","IBA,IEA","IEA","IEA",,,,"IMP",,,,"ISS",,"ISS,IEA",,"ISS,IBA,IEA",,,"ISS,IEA",,"ISS,IBA,IEA",,,"IMP,IEA",,,,,"ISS,IBA",,"IEA","IEA","IDA,ISS,NAS",,"IDA,IMP,IGI,ISS,IBA,TAS,NAS,IEA",,"ISS,IBA,IEA",,"ISS,IEA",,,,,"IDA,IGI,IBA,IEA","IDA,IMP,IEA",,"IDA,IBA",,"ISS,IBA,IEA",,"ISS,TAS",,"IMP,ISS,IBA,TAS,IEA",,,"IEP,ISS,IBA,IEA",,,,"IDA,TAS",,,,"ISS","IMP,IGI","ISS,IEA",,,"IEP,ISS,TAS,NAS","IBA,IEA",,"IBA","IBA,TAS,IEA"
"GO:BP","synaptic signaling","GO:0099536","false","7.686198398093885e-7","6.114288409608158","780","130","23","21031","IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,"IBA,TAS",,,,,,,"IEA",,,,,,,"IEA",,,,,,,,"IBA","TAS",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,"IEA","IEA",,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA",,,,,,"ISS",,,,"IBA,TAS,IEA","TAS",,,,"IGI,ISS,IBA,NAS,IEA",,"IEA",,,,"ISS,IBA",,,,,,,,,,,,"TAS",,,,,,,,,,,,,"ISS,IEA",,,,"IBA,IEA","IBA",,"IEA"
"GO:BP","neuron projection morphogenesis","GO:0048812","false","0.000001089857245983535","5.9626303840243065","655","130","21","21031",,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,"ISS",,,,"IBA,IEA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,"IBA",,,"IEA","ISS,IEA","IEA","IEA",,,,,,,,,,,,"ISS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,"IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,,,"ISS,IBA,IEA",,"TAS",,"IBA,TAS,IEA",,,"ISS,IBA",,,,,,,,"ISS",,,,,"ISS",,,,"IBA,TAS,IEA"
"GO:BP","plasma membrane bounded cell projection morphogenesis","GO:0120039","false","0.0000016811784818366427","5.774386177362421","671","130","21","21031",,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,"ISS",,,,"IBA,IEA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,"IBA",,,"IEA","ISS,IEA","IEA","IEA",,,,,,,,,,,,"ISS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,"IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,,,"ISS,IBA,IEA",,"TAS",,"IBA,TAS,IEA",,,"ISS,IBA",,,,,,,,"ISS",,,,,"ISS",,,,"IBA,TAS,IEA"
"GO:BP","neurogenesis","GO:0022008","false","0.0000018168236702004023","5.740687220614358","1742","130","34","21031",,,"IBA,IEA",,,,,,,,"ISS,IEA",,,"IDA",,,"IMP,TAS,IEA","IEA",,,,,,"IEA",,,,"IMP",,"ISS",,,,"IBA,IEA",,"IEA",,,,,,,,,,"IBA,IEA",,"ISS",,,,,,,,,,,,"IDA,IBA",,,"IEA","ISS,IEA","IEA","IBA,IEA","IEA",,,,,,,,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,,,,,,,"ISS",,,"IEA","IDA,ISS",,"IDA,IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,,,"ISS,IBA,IEA",,"ISS,TAS",,"IMP,ISS,IBA,TAS,IEA",,,"IEP,ISS,IBA",,,,,,,,"ISS",,,,,"ISS,NAS",,,,"IBA,TAS,IEA"
"GO:BP","cell projection morphogenesis","GO:0048858","false","0.0000019201178785800675","5.716672108564476","676","130","21","21031",,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,"ISS",,,,"IBA,IEA",,,,,,,,,,,,,,"ISS",,,,,,,,,,,,"IBA",,,"IEA","ISS,IEA","IEA","IEA",,,,,,,,,,,,"ISS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,"IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,,,"ISS,IBA,IEA",,"TAS",,"IBA,TAS,IEA",,,"ISS,IBA",,,,,,,,"ISS",,,,,"ISS",,,,"IBA,TAS,IEA"
"GO:BP","chemical synaptic transmission","GO:0007268","false","0.000002133445032123561","5.6709185421896935","750","130","22","21031","IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,"IBA,TAS",,,,,,,"IEA",,,,,,,"IEA",,,,,,,,"IBA","TAS",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,"IEA",,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA",,,,,,"ISS",,,,"IBA,TAS,IEA","TAS",,,,"IGI,ISS,IBA,NAS,IEA",,"IEA",,,,"ISS,IBA",,,,,,,,,,,,"TAS",,,,,,,,,,,,,"ISS,IEA",,,,"IBA,IEA","IBA",,"IEA"
"GO:BP","anterograde trans-synaptic signaling","GO:0098916","false","0.000002133445032123561","5.6709185421896935","750","130","22","21031","IBA,TAS",,,,,,,,,,"IBA,IEA",,,,,,,,"IBA,TAS",,,,,,,"IEA",,,,,,,"IEA",,,,,,,,"IBA","TAS",,,,,,,,,,,,,,,,,,,,"IBA,IEA",,,"IEA",,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA",,,,,,"ISS",,,,"IBA,TAS,IEA","TAS",,,,"IGI,ISS,IBA,NAS,IEA",,"IEA",,,,"ISS,IBA",,,,,,,,,,,,"TAS",,,,,,,,,,,,,"ISS,IEA",,,,"IBA,IEA","IBA",,"IEA"
"GO:BP","plasma membrane bounded cell projection organization","GO:0120036","false","0.0000022260563521510385","5.652463845788163","1570","130","32","21031",,,"IBA",,,,,,,,"ISS,IEA",,,,,,"IEA","IEA",,,,,,"IEA",,,,,,"ISS",,,,"IBA,IEA",,,,,,,,,,,"IMP",,,"ISS",,,,,,,,,"IMP,IBA",,,"IBA",,,"IEA","ISS,IEA","IEA","IEA","IEA",,,,,,"IMP,IBA",,,,,"ISS,IEA",,,,,"ISS,IEA",,"ISS,IBA,IEA",,,,,,,,,,,,"IDA",,"IDA,IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,"IDA",,"ISS,IBA,IEA",,"TAS",,"ISS,IBA,TAS,IEA",,,"ISS,IBA",,,,,,,,"ISS",,,,,"ISS",,,,"IBA,TAS,IEA"
"GO:BP","modulation of chemical synaptic transmission","GO:0050804","false","0.0000023965327552189684","5.6204166308017","489","130","18","21031",,,,,,,,,,,"IBA,IEA",,,,,,,,"IBA",,,,,,,"IEA",,,,,,,"IEA",,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA",,,,,,"ISS",,,,"IBA,IEA",,,,,"IGI,ISS,IBA,NAS,IEA",,"IEA",,,,"ISS,IBA",,,,,,,,,,,,"TAS",,,,,,,,,,,,,"ISS,IEA",,,,"IBA,IEA","IBA",,"IEA"
"GO:BP","signaling","GO:0023052","false","0.00000240309583376556","5.619228909493369","6447","130","73","21031","IDA,ISS,IBA,TAS,IEA","NAS","IMP,IBA,TAS,IEA",,,"IDA,IBA,IEA",,"IMP,ISS,IBA,IEA","IBA",,"IBA,IEA","TAS",,"IDA","IBA,TAS,IEA",,"IDA,IPI,IMP,IGI,IBA,TAS,IEA",,"IDA,IMP,IBA,TAS,IEA","IBA,TAS,IEA",,"IDA,IMP,IBA,TAS,IEA",,,,"NAS,IEA","TAS,IEA","IMP","IBA,IEA","NAS","IEA","IDA,ISS,IEA","IEA","IBA",,"IBA,IEA",,,,,"IDA,IBA","TAS,IEA",,,"IDA,IMP,IBA,NAS,IEA",,"IMP,ISS,IBA,IEA",,,"ISS,IBA,TAS,IEA",,,"IBA,IEA",,,,,"IMP,IBA,TAS,IEA",,"IDA,IGI,ISS,IBA,IEA",,"IBA,IEA",,"IEA","IEA","IEA","IBA,TAS,NAS,IEA",,"ISS,IBA,IEA",,,,,,"TAS,IC",,,"TAS",,,"ISS,IBA,IEA",,,"IDA,IMP,IBA,IEA","ISS,IBA","IMP,IBA",,"IMP,IBA,TAS,IEA",,"ISS","TAS,IEA","IBA,IEA",,"IBA,TAS,IEA","TAS","IBA",,"TAS","IGI,ISS,IBA,TAS,NAS,IEA","IBA,TAS","IDA,IBA,IEA","ISS",,"IEA","IDA,ISS,IBA,IEA",,,"IDA,IEA",,,"IDA,IMP","IDA","ISS,IBA,NAS,IEA",,"TAS",,"TAS",,"IMP,IBA,IEA","ISS,IBA,IEA",,"IEA",,,,,,"ISS","IBA,TAS,IEA","IDA,ISS,IEA",,,,"IBA,IEA","IBA,TAS,IEA",,"IEA"
"GO:BP","regulation of trans-synaptic signaling","GO:0099177","false","0.000002475189292337804","5.6063915823974","490","130","18","21031",,,,,,,,,,,"IBA,IEA",,,,,,,,"IBA",,,,,,,"IEA",,,,,,,"IEA",,,,,,,,"IBA",,,,,,,,,,,,,,,,,,,,,,,,"IEA",,,,"IBA,IEA",,,,,,,,,,,,,,,"IBA",,,,,,"ISS",,,,"IBA,IEA",,,,,"IGI,ISS,IBA,NAS,IEA",,"IEA",,,,"ISS,IBA",,,,,,,,,,,,"TAS",,,,,,,,,,,,,"ISS,IEA",,,,"IBA,IEA","IBA",,"IEA"
"GO:BP","cell junction assembly","GO:0034329","false","0.00000468868262859898","5.328949163147893","449","130","17","21031",,,,,,,,,,,,,,,,,,,,,,,,"ISS",,,"IMP",,,,"IBA",,"IEA",,,,"IMP",,,,,"IEA",,,,,,,,,,,,,,,,"IDA,ISS",,,,"IBA",,"ISS,IEA","IMP,IBA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"IDA,ISS,IBA,TAS,NAS,IEA",,"IEA",,,,,,,,"IDA,IMP,IEA",,"IBA",,,,"ISS",,,,,,,,,,,,,,,,,,"IMP","IBA,IEA",,,
"GO:BP","cellular anatomical entity morphogenesis","GO:0032989","false","0.000004943674000633743","5.305950175539355","785","130","22","21031",,,,,,,,,,,,,,,,,,"IEA",,,,,,,,,,,,"ISS",,,,"IBA,IEA",,,"IMP,IGI",,,,,,,,,,,"ISS",,,,,,,,,,,,"IBA",,,"IEA","ISS,IEA","IEA","IEA",,,,,,,,,,,,"ISS,IEA",,,,,,,"ISS,IBA,IEA",,,,,,,,,,,,,,"IGI,ISS,NAS,IEA",,"IBA,IEA",,"ISS,IEA",,,,,,,,,,"ISS,IBA,IEA",,"TAS",,"IBA,TAS,IEA",,,"ISS,IBA",,,,,,,,"ISS",,,,,"ISS",,,,"IBA,TAS,IEA"
